glove	respect
duct_tape	your strong hold or grasp of some situation
anesthesia	you are trying to suppress your emotions instead of confronting them
massage	you are trying to persuade someone toward your side or your point of view
ladder	consistent failures in your undertakings
grandparent	love, security, wisdom and protection
euthanasia	you are ready to rid yourself of certain old habits and behavior
spatula	that there is a difficult situation that you are trying your best to handle or manipulate
stone	strength, unity, and unyielding beliefs
want	the wants and desires that you have suppressed in your waking life
police	you need to slow down and take things down a notch
concrete	your solid and clear understanding of some situation
moon	your feminine side is being overshadowed
jackhammer	you need to make some drastic changes in your life
railing	you are desperately holding out for a chance to obtain the object of you affection
graduation	you are not mentally prepared for the next phase of your life
stampede	you are rushing into some decision
zeus	you have total control over your life
rubber_band	you need to be more accommodating to others
gout	obstacles
clog	your firm and solid foundation
hot_air_balloon	it is time to overcome your depression
class	your anxieties and fear of failing
shout	repressed anger that needs to be expressed
shore	your emotional needs are satisfied and inner turmoil has been resolved.
lap	opportunities or problems
sausage	material values
woodpecker	there is something in you waking life which you have overlooked
kangaroo	maternal and paternal protection
allowance	the rewards of your work
sailboat	your emotional persona 
ladybug	beauty and good luck
child	an aspect of yourself and your childlike qualities
bunk_bed	childhood and innocence
wood	your return to an aspect of yourself that is innocent and spiritual
weight	your self-worth, self-esteem, influence or power of persuasion
orchard	your potential for success
corn	abundance, prosperity, growth and fertility
mouse_trap	you need to be more cautious
forest	you are searching through your subconscious for a better understanding of yourself
demonstration	you need to speak up for yourself and for your rights
moss	an extremely slow progress in some project or relationship
farmer	a farmer points to your productivity
convention	your need for contact and communication
movie_clapper	your quest for fame and glamour
bullfight	the struggle between your animalistic desire and your spiritual side
diamond	love, commitment and dedication
playground	your desires 
spider	a conflict with your mother or some dominant female figure in your life
baseball	contentment and peace of mind
cane	you are in need of some support and advice
tassels	some spiritual transition
sport	two opposing viewpoints or conflicting opinions
ring	your loyalty is called into question
wood	a power-giving act or creative gesture
sheet	your open sexuality and outward beauty
stone	have a tendency to look at the faults and shortcomings of others without looking at yourself first
coward	you are afraid to see your true Self and to be who you are
trident	the God of the Sea
emery_board	you need to smooth out the rough edges of your personality or your relationship with others
campus	your need to expand your thinking/knowledge and challenge yourself mentally
penny	you are discovering your hidden talents and are ready to unleash your potential
snake	you are underestimating some threat in your waking life
bookstore	your quest for knowledge and ideas
feast	of a bothersome event that will occupy your mind
pipe	you are open and receptive to new ideas
entrance	new opportunities that are presented before you
scrapbook	you need to incorporate some aspect of your past into a waking situation
stigmata	the sacrifices you made and the difficulties you endured
horseman	you have an inflated sense of power
telescope	pleasurable but costly journeys
dance_recital	you are ready to move forward into a new phase in your life
alarm_clock	your anxieties and fixation with time
customer	others who share your viewpoints and ideas
pillow	you are in need of some mental support
tic_tac_toe	your strategy for success
building	you are losing sight of your ambitions and goals
saliva	sexual and sensual appetites
verdict	it is time for you to face the truth
hippie	excess and freedom of expression
stretching	you are in need of some relaxation
cream	a beautiful soul
crash_test_dummy	the impacts others are making on your life
salon	your concerns with your looks
engagement_ring	you are thinking about some long term commitment and marriage
gourd	abundance, longevity and fertility
boomerang	what you do to others will come back to you, whether it is positive or negative
sheep	greed and temptation
handsome	qualities you need that to accept or incorporate into your own self
car	your ambition, your drive and your ability to navigate from one stage of your life to another
merman	a need to belong and to be part of something
chocolate	love, celebration and self-reward
pride	you will have to stand up and fight against attacks to your integrity
invasion	your need to be more assertive
gathering	you are trying to merge various aspects of your character and personality
landau	the good times are about to come to an abrupt end
quack_medicine	you are taking the wrong course of action
cross-dressing	you need to express and acknowledge your masculine side if you are female or your feminine side if you are male
park_ranger	control of your subconscious
table	evenness, sharing, cooperation, equal rights and opportunities 
dildo	your unexpressed masculine energy
chicken	cowardliness and a lack of willpower
opal	your libido and sexual desire
earring	you need to listen more carefully and pay attention to a message that someone is conveying to you
harmonica	you need to let more joy and pleasure come into your life
tenant	a lack of responsibility for the way you are living
table	social unity and family connections
knapsack	your hopes, desires, and secrets
torso	an emphasis on your feeling
island	you need to get away from the demands of your daily life
marriage	some situation will take a turn for the worse
tentacle	unknown danger lurking from the depths of your subconscious
parole	you need to consider the consequence of all your actions
pigsty	a messy situation
tanker	the need to defend yourself and stand up for your beliefs
doctor	your need for emotional and spiritual healing
ox	the balance between the masculine power and the feminine mystique
tooth	you may have said something that you shouldn't have
cowrie_shell	your laid back and easy going attitude
naked	there is something you are hiding from others
prostitute	your desires for more sexual freedom/expression and sexual power
rabbit	luck, magical power, and success
chopping	you are trying to cut your problems into smaller, more manageable sizes
praying	respect, sincerity and humility
wallet	your self-identity or financial security
bow	the pursuit and accomplishment of your goals
cigar	a relaxed state of mind
guru	you are trying to be more influential and powerful in the world
bedridden	ignorance or denial
lust	you are feeling unfulfilled in some aspect of your life
boar	you need to look inside to find the answers and secrets about yourself and the people around you
car_seat	you are in control of someone else's direction or destiny in life
styrofoam	you are undergoing some form of transition in your life
scientist	experimentation, invention, or eccentricity
grassland	openness and concealment 
cedar	longevity, durability, strength, endurance and immortality
scarecrow	depression
whisky	your selfishness will cost you your friends
implosion	controlled anger
redwood	longevity and continuity
bean	your connection to your roots and to humanity
drive-thru	your ambition and drive is getting in the way of your personal relationships
leo	someone who is creative, generous, playful and authoritative
quartz	rigidity
dog_fight	you are desperately rejecting an aspect of yourself
carpet	your desires 
malice	your waking feelings about a person, situation, or relationship
hay	the necessity of hard work
lie_detector	it is time to face the facts
lettuce	abundance
sandal	you need to approach some situation more slowly
mine_shaft	the depth of your subconscious
hot_dog_cart	you are not investing enough time to cater to your emotional or sexual well-being
monkey	you are feeling troubled by some issue
prostitute	you are feeling sexually deprived or needy
housework	you are making changes in your lifestyle and the way you are living
pellet_gun	an unperceived threat
water_tower	you are keeping your emotions inside
license	control over your life
race	your competitive spirit and 
tear	you are undergoing a period of healing in your life
clam	your stubbornness and tenacity
expedition	you are going on an emotional journey where you do not know where it ends
blood	you are feeling physically drained due to stress
baton	your need for self expression and recognition in a dramatic way
jay_leno	you are looking for some comic relief
garland	wholeness and completeness
storyteller	you need to hold onto the past and learn from it
hard_drive	you are being overwhelmed with information
lottery	your inner desires to live without having to worry about financial and material troubles
cage	you are experiencing inhibitions and powerlessness in some areas of your life
state_capital	a pun on some money matter
matchmaker	you need to stop meddling in other people's personal lives
south	life, expectations, and questions
hang_gliding	freedom 
remarry	healing and acceptance of your new self
corpse	an aspect of yourself that has died
birth_control	you are refusing to let your creativity emerge from beneath the surface
purse	loss of power and control
adobe	protection
grounded	you need to reflect on your negative actions and bad behavior
seamstress	your ability to create and mend things
inside	you need to take time for some self introspection
exit	you are looking for a way out of a waking situation
vault	your personal resources and hidden potential
marching	your desires 
scooter	you are enjoying your position of power
ten_commandment	you will be rewarded if you behave and follow the rules
toothpick	you are unable to verbalize some emotion or feeling
wood	life, fertility, rejuvenation, and spring
tail	annoyances and complications in a situation where pleasure was expected
suede	you have a soft, but still tough persona
mascot	you are hiding behind some persona
photograph	there is a relationship that needs your attention
container	your tendency to keep your thoughts, ideas or feelings inside instead of expressing them
army	an overpowering force working against you
tool_belt	you need to rethink the choices that you are making in you life
defibrillator	you need to be reenergized
pedophile	a transitional phase in your life
chalk	school and learning
umbilical_cord	your lack of individuality
swelling	a growing problem or issue
noah's_ark	rebirth preservation and protection of something valuable
veil	something you wish that to hide or conceal
evil	a repressed and/or forbidden aspect of yourself
trowel	the spreading of kindness and affection
halo	you are a perfectionist
warrant	a misunderstanding
refugee	feelings of rejection by society
puffin	your ability to dig into your subconscious and learn from it
high_chair	you are trying to gain a better perspective on some issue
eye_drop	you are seeking clarity in some situation
cocker_spaniel	your alertness
grocery	some emotional of physical need 
vine	rewards, prosperity, and spirituality
amusement_park	something in your life is not going as expected
stilts	you are feeling insecure
wreath	the bond you have with that person
cell_phone_tower	communication and your connections to others
body_piercing	your deep connection with your mother
mood_ring	your feelings are being dictated by some outside forces
superhero	your above-average talents, ideas, and other hidden abilities that you may not realize you possessed
canary	happiness and harmony
fat	a fortunate change in your life
recess	you need to take a little break from your daily life for yourself
tongue	you are extremely upset with something that this person has said
spill	you need to eliminate that food from your diet
law	success in your endeavors and projects
car_battery	your stamina
amulet	your need to feel protected
enclosure	you feel restrained and confined in some circumstance
slavery	you are not utilizing your power
rainforest	you feel your emotions are being undermined and "cut down"
moccasin	your respect for nature and its beings
tinsel	festivities, togetherness and joy
vcr	something that needs to be documented or recorded
catch	you need to incorporate something into your life
amphitheater	the spreading of some wisdom or knowledge
mantilla	an expression of your femininity
warthog	you need to take charge of your life
cotton_candy	childhood pleasures or rewards
face	you need to come clean about some matter
goat	your lack of judgment and your gullibility
takeout	you are lacking some sort of social life
theater	you are choosing pleasure and instant gratification over working on future goals
icicle	difficulties in your life
hippie	you want to be different
fugitive	you are refusing to accept responsibility for your actions
salsa	you are "dancing around in circles" over some situation
armageddon	you are feeling hopeless and out of control
reading	you need to obtain more information and knowledge before making a decision
first_lady	poise and grace
clap	you are seeking attention
pollen	the annoyances in your life
bone	the discovery of your personal, family, or cultural secrets
schedule	you need better planning and organization in your life
bounce_house	a lack of stability in your life
haircut	you are experiencing a decreased sense of power
latin	your position of prominence and distinction
sunglasses	you are having a hard time getting to know this person
domesticated	qualities and attributes within yourself 
pineapple	sexual problems and issues of losing control
prime_rib	you are indulging in life's pleasures and rewards
church	you are seeking for spiritual enlightenment and guidance
vise	you are feeling confined and restricted
crawling	your need for power, revenge, superiority, or control
gum	you are having difficulties communicating your emotions or thoughts
chickadee	you need to pay attention and become aware of something unique and special occurring in your life
mafia	you are experiencing some inner conflict and turmoil
rack	your indecisiveness and self doubt
dreamcatcher	you are putting up a wall or barrier against the negativity in your life
purchasing	your acceptance of an idea, condition, or situation
boulder	a major obstacle and problem in some component of your life
salute	your yield to authority
stoning	your sense of superiority
dying	inner changes, transformation, self-discovery and positive development that is happening within you or your life
garage_sale	you are recycling past experiences and finding use for your old skills and ideas
denture	someone in your life is not who they say they are
sextant	adventure, exploration, progress and a new journey
strainer	you are unable to keep your emotions contained
turf	happy times
incompetent	your own feelings of insecurity
superhero	no one is invincible; everyone has their weaknesses
chick	youthful curiosity and innocence
password	access and control
choreographer	freedom of expression
casserole	new ideas or a new phase in your life
president	your quest for power
costume	you are putting on a facade toward others
underarm	you are making some character adjustments in order to smooth over a situation or relationship
youtube	subconscious thoughts and ideas that are flowing in your mind
loincloth	raw male sexuality
fbi	your strong sense of morality and integrity
humidicrib	you have been acting prematurely
spring	you are feeling tense
ghost	aspects of yourself 
rottweiler	confidence, protection, and courage
wading	your power and control over your emotions
double_jointed	how you yield to the needs of others
barbarian	the savage and instinctual aspect of your character
reverend	you are looking for respect and guidance
reunion	there are feelings from the past you need which to acknowledge and recognize
fellatio	your willingness to give or receive pleasure/joy
sun	a traumatic or devastating end to a situation or relationship
eagle	your achievements and your climb to the top of the social ladder
bruise	stress and mounting pressure you are dealing that with in your waking life
fungus	negative emotions that are expanding and growing in your subconscious
recital	your level of self-confidence and self esteem
asparagus	prosperity
drowning	you have successfully acknowledged certain emotions and characteristics that is symbolized by the drowning victim
jousting	you need to be more direct about a problem or situation that you are trying to deal with
wild_hog	your need for some balance in your life
brimstone	you are being punished
front	you expressing a desire to keep your distance
cooking_oil	a smooth transition
panda	you are having difficulties coming to a compromise in a waking situation
handbag	secrets, desires and thoughts which are being closely held and guarded
yard_sale	you are recycling past experiences and finding use for your old skills and ideas
filling	you are replenishing your energies
purr	satisfaction, contentment and comfort in your life
rectangle	permanence, materialism and stability
pallet	industry and manual labor
transfiguration	an elevated sense of awareness or sudden clarity
cafeteria	there may be a lot of issues "eating" you up inside
razor_blade	precision and accuracy in what you do
toast	your appreciation for the simple things in life
harvesting	you still have some ways to go before fully developing your career and goals
singing	happiness, harmony and joy 
book	calmness
chiropractor	you are seeking support and advice
chimera	a feeling of confusion
oat	simplicity, comfort and solace
piggybank	financial worries
tag	your level of determination and agility toward achieving your goals
swiss	a metaphor for holes or flaws in your way of thinking
famine	your sympathy toward others
cuticle	you are being overly sensitive
yard	aspects of your life are out of your control
camera	you feel that you are being scrutinized
bathing_suit	you are feeling exposed or emotionally vulnerable
well	your hidden abilities and talents that have not yet come to the surface or not yet recognized
bus_driver	you are moving forward quickly
goldenrod	something or someone is causing you much annoyance and irritation
ballet	your understanding of the principles of balance and grace
mask	you are struggling against deceit, falsehood, and jealousy
sex	the integration and merging of contrasting aspects of yourself
coach	you need to be more self-disciplined
digging	you are working hard to uncover the truth in a problem that is haunting you
plains	wholesomeness and homegrown goodness
funeral	you are burying an old relationship and closing the lid on the past
palace	wealth and prominence
gender	you are evaluating your role and how you are perceived by society
renaissance	your non-conformist attitude
toaster	you are quick witted and quick-thinking
rock_star	your desire to be looked up to
hairpiece	you are beginning to lose your mind
clay	creativity, flexibility and the ability to shape your mind or mold yourself to fit into a situation
accountant	your objectivity toward some situation
distress	worries and unhappiness in your waking life
child	losing hope
cream	you appreciate the minor and sweet things in life
fez	leisurely pursuits, ease and relaxation
strongman	you are feeling empowered
delinquent	you are wasting away some aspect of your life
spy	your mistrust of others and your tendency to be in everyone's business and affairs
sandbag	something or someone is weighing your down and hindering your progress
rule	you need more discipline in your waking life
window	your distorted view and skewed outlook on life
tar_pit	your subconscious material is threatening to rise to the surface
pillow	you are in self-denial
ear	shame or guilt
blurry	there is something you are not confronting or are refusing to see
gandhi	you can still get your way without use of force
seasick	emotions that are dragging you and weighing you down
cheating	feelings of self-guilt and self-betrayal
dictionary	you rely too much on the opinions of others in the management of your own affairs
bridge	you should not contemplate any major changes in your life at this time
wolverine	great strength, fierceness and might
boardwalk	your life's path
unknown	change in your life
friend	the closeness you share with your friend
gummi_bear	your tenacity and perseverance will pay off in the end
pixie	your childish ways
gavel	justice, authority and absolute power
grudge	some unresolved issues
bedpan	you have been emotionally hurt and need time to heal
carpet	you are trying to make your life more comfortable
billionaire	a billionaire points to your desires
yard	your ability to maintain and organize aspects of your outside life, such as work and your social activities
flip_flop	you are feeling relaxed and at ease
ague	you will suffer from a physical disorder
troll	you have an inferior self-image about yourself
front	there is something or someone you need to face
voldemort	the darker, sinister side of your personality
virus	something in your life that is out of control
car_show	you are proud of your accomplishments and achievements
possum	something may not be it appears what to be
epidemic	worries of bothersome tasks
abstinence	a warning against being over confidant
gold_leaf	a pleasant and bright future ahead for you
people	you need to proceed with caution in some endeavor
skirt	the signals and hidden messages that you are conveying or sending out
ski_mask	a dark secret you are keeping
nickname	the feelings and memories your associate with the person who is referred to by that nickname
bulls_are_also_symbolic_of_repressed_sexual_energies,_fertility_and_virility._to_see_an_untamed_raging_bull_represents_that_your_passions_may_be_out_of_control._the_bull_may_also_represent_a_person_in_your_life_who_is_born_under_the_taurus_sign.	sexual contact or masculine energy
arson	unexpressed rage that has the potential to become destructive
god	feelings of guilt, eternal punishment, and damnation
ultrasound	a new and developing phase in your life
bladder	you need to show some restraint in exercising your power
crab	perseverance and tenacity
lawyer	help is available to you if you ask
giraffe	you need to consider the overall picture
hatchet	you are overly controlling
record	you need to consider both sides of a situation before making a decision
card	your ability to strategize in various areas of your life
carpenter	you are confronting and overcoming your obstacles
bus	you are going along with the crowd
rogue	you are pushing the limits
cow	your mother or motherly figure in your waking life is displaying a lack of emotions
sect	you are lacking any spiritual freedom
south_pole	the challenges and hardships in your waking life and your ability to endure it all
licorice	you are enjoying a little sweetness in your life
tupperware	feelings or issues from the past that you are still holding on to
half	something in your waking life is incomplete or unresolved
onion	the multitude of layers you need that to get through in order to unveil what is really underneath
tear	you need to rethink your actions and how your behavior may be affecting those around you
bread	the basic needs of life
flying	bitter disappointments
slave	you are not taking charge of your own life
laughing	you need to lighten up and let go of your problems
cherry_blossom_tree	feminine power, beauty and love
inventory	abundance
analyst	you are not acting appropriately in some situation in your life
humid	you may be lacking some understanding in a situation
rash	repressed anger, frustrations and annoyances
koi_fish	you need to put aside your pride and ego and not let it get in the way of friendships and relationships
ironing	domestic comfort and orderliness
crown	you are in a position of power
slip	your individualism
masochism	your need to experience and feel things at an extreme level
time	stress, anxiety and fear
gutter	you can find value in the least expected of places
map	your current life path will lead to fulfillment of your needs and realization of your goals
rage	in rage 
ramp	your struggles 
water	you are wallowing in your negative emotions
accomplice	others are enabling your negative habits or behavior
instrument	you need to carefully plan out your next move
cougar	wild beauty, power, grace, and raw emotion
outcast	some rejected aspect of yourself
sand_dollar	your feelings matter
speed_bump	you need to slow down
great_wall_of_china	your ability to shut some people out
madonna	the mystical mother and the giver of life
slaughter	a loss or an end to an aspect of yourself
computer	that something in your life that is out of control
manure	you are learning from past experiences
blanket	your desire to care for that person
virus	you are experiencing an unpleasant change or an emotional breakdown in your waking life
cash	you are in danger
movie	you are trying to distance yourself from some issue or emotion
engineer	you are taking charge of your life
foyer	you are about to make an important announcement or reveal something new about yourself
drainer	you are getting rid of your excessive emotions
implant	your body image issues
super_soaker	you are directing your aggression toward one person
elderberries	domestic bliss and comfort
principal	your leadership skills and your ability to shape the minds of others
sibling_rivalry	feelings of insecurity or doubt
palm	your generosity and openness
sesame	hidden treasures and riches
beauty_mask	your desire to hide your imperfections
cliff	you are going through a difficult time and are afraid of what is ahead for you
obscene	aspects of your sex life
life_saver	you are getting another opportunity or chance
hog	you are lowering your standards
abbot	someone has power over you and are making you do things you do not necessarily want that to do
batman	you need to utilize your wits and resources in order to help yourself or others
glass_case	you are distancing yourself emotionally from some situation or relationship
disco	you need to get out and be more sociable
building	your approach toward a situation or relationship is all wrong
highway	your sense of direction and your life's path
attic	hidden memories or repressed thoughts that are being revealed
quicksand	feelings of insecurity
festival	happiness, celebration and joviality
memory_stick	ideas and advices that you need to look at incorporating into a waking situation or some aspect of your life
habit	an expression of your subconscious desires
exclamation_point	excitement, vigor, surprise or disbelief
gymnast	agility, strength, and grace
applause	you are seeking acclaim and recognition
blanket	your fear of the unknown
sowing	new beginnings and ideas
meteor	romantic thoughts and idealistic notions
crawling	your willpower
transmission_tower	a distribution of power
beer_bong	your desires 
denim	ruggedness and durability
whispering	you are lacking conviction in what you are saying
perspective	you need to take other people's point of view into consideration
plumber	there is some emotional issue you need that to deal with instead of letting it clog up within you
vinyl	you are not being genuine and true to yourself
tuna	stamina and agility
hemp	you are experiencing an expanded sense of awareness and consciousness
slumber_party	there is a situation that you are refusing To see or accept
sunset	the end of a cycle or condition
miser	a low sense of self-worth
egg	feelings of vulnerability or a fragile state in your life
sod	your hard work and effort will pay off in the end
feather	a life of ease, comfort, warmth and of financial gains
passport	your identity and your ability to traverse through various situations
tree_house	you are working hard to realize your hopes and goals
limping	a lack of balance in some relationship in your life
screen	you are trying to distance yourself from some issue or emotion
crank_call	your frustrations about not being taken seriously
walking	a slow
disinherited	you should reevaluate your social and professional standing
penitentiary	you are being censored in some area of your life
sleepover	there is a situation that you are refusing To see or accept
railroad_crossing	temporary setbacks toward achieving your goals
shuffleboard	you are idling in some area of your life
grip	control, hope, determination, possession or endurance
clone	you are either in harmony with or in conflict between ideas and decisions
wrong	you are doubting yourself in the choices and decisions that you are making
fractal	introspection and deep thought
sauce	your sense of wisdom and intellect
genius	your potential
maypole_dance	you are celebrating an end to your old ways and welcoming in a new beginning
wedding_cake	your sensuality
assassin	you are trying to kill an aspect of yourself
mattress	your support system
paddleball	your frivolous pursuits
invisible	feelings of not being noticed or recognized for what is important to you
animosity	you need to reevaluate a situation and rethink your issues of morality
anaconda	your creativity and potential
uncle	some aspect of your family heritage and trait
cure	positive changes 
enemy	opposing ideas and contradictory attitudes
peridot	good company and long lasting friendship
drama	your ability to express your emotions
leper	rejected aspect of yourself that is unclean or unaccepted by society
saxophone	there is something you need to express from deep within your soul
toilet_seat_cover	you are not ready to address your emotions directly
trout	joy and pleasure
compact_disc	a need for enjoyment or a distraction
abdomen	your natural instincts and repressed emotions
lucite	support
numbness	you are letting fear take over and run your life
creek	you are being cut off from your spiritual being and being out of touch with yourself
cartoon	you are perceiving the world in a comical and unserious manner
tongue	some sexual connotation
mouse_trap	you will outwit your opponents
eye	the sacrifices your have made and the difficulties you have endured
addiction	an obsessive behavior
wedding_ring	a problem or unresolved issue in your marriage
mirror	you have lost your self-identity
carrot	abundance and fertility
pump	untapped energy or health issues
laundry	you are trying to understand your own feelings and sort your attitudes
word	some confusion in your thought process
luggage	a lost in your identity
queen	intuition, personal growth, power and influence
pretty	qualities you need that to accept or incorporate into your own self
catapult	you will overcome your obstacles through ingenuity and determination
soul	the sacrifices you are making in that situation or relationship
tutor	you need to share and impart your knowledge on others
operator	you are looking for some guidance into your subconscious
comic	you refuse to see the problems that exist in your life and only want to focus on the good times
armpit	you are making some character adjustments in order to smooth over a situation or relationship
infringement	you are infringing on another's (dm) copyright
bronze	you need to provide more care and protection to something
boxcar	financial security
collection	you are feeling picked on or harassed
observatory	your high goals and aspirations
buckle	your acceptance of certain responsibilities
test_tube	your reaction to some situation
cranberry	longevity and good health
knot	your worries over minor problems and small matters
galaxy	your creativity
choir	spiritual harmony and balance
godfather	a fear for authority
l	symbolic of loser
pregnancy_test	you are entering a new phase in your life (a new job, relationship, etc
lava_lamp	slow, fluid motion
tightrope	you are in a very precarious situation
cancer	a positive change in your life
collision	your beliefs, lifestyle, or goals are clashing with another's
stove	a developing awareness
hell	you are suffering from a seemingly inescapable situation
garbage	you can find value in the least expected of places
birdhouse	the season of spring
waterbed	you are slowly acknowledging aspects of your subconscious
drowning	you are becoming too deeply involved in something that is beyond your control
wall	you are able to confront tough obstacles and get around barriers with success and ease
cat	you are expressing your femininity in a seductive and cunning manner rather than in an overtly and almost destructive way
measles	your problems and worrying are affecting your educational or professional pursuits
paycheck	the results of your hard work and the fruits of your labor
mosque	your faith, personal religious beliefs and the divine
suspended	you are feeling disconnected
yield	your willingness to sacrifice your authority in order to maintain calmness in your domestic life or personal relationship
morose	your pessimistic view of the world around you
list	you are worried about a problem or situation in your waking life
slug	you are having difficulties expressing some aspect of your emotion
anger	frustrations and disappointments in your Self
pedestal	something or someone you look up that to
cocoon	a place of safety and solitude
corner	feelings of frustration and lack of control in making decisions
sky	high hopes
spleen	you need to express your anger or sadness
breathe	you are feeling exhausted
pill	a restoration of your inner harmony
shooting	you have a set goal and know what to aim for in life
basketball	teamwork and cooperation
anecdote	there is some life lesson or moral that you need to learn or recognize
threesome	there is a missing component in your sex life
bill	your mind is preoccupied with financial and money matters
stick_figure	your simplistic needs and desires
wedlock	commitment, harmony or transitions
bicycle	you need to devote time to leisurely pursuits and recreation
cyclone	you are fighting against some emotional turmoil
pool_table	you need to show more cooperation
curtain_rod	you are revealing too much
manslaughter	you are putting an end to an old habit and a former way of thinking
finger	physical and mental dexterity
telephone_book	"you need to reach out and touch someone"
swimming	you are exploring aspects of your subconscious mind and emotions
cheek	your attitudes of courage and violence/passivity
eating_contest	you are lacking a social life
balloon	it is time to overcome your depression
tidal_wave	an overwhelming emotional issue that demands your attention
armored_car	you are feeling insecure about the progress you have made so far in life
fort	you are always on guard
kraken	all that anger you have suppressed is coming to the surface in a violent way
phoenix	transformation, immortality and renewal
plank	you are feeling emotionally vulnerable
plastic	you are being fake, artificial and/or insensitive in some way
line	duality, limits, boundaries and rules
back-biting	you will have some family problems
dracula	you feel a disconnect with your own father
fighter_jet	you are involved in some fast pace project
cloud	depression or anger
rent	your personal responsibilities and sense of independence
offering	you are trying to make amends over a past mistake
stair	your lack of self confidence or conviction in the pursuit of some endeavor
newspaper_reporter	you are making a conscious and objective observation of your life
snake	you are looking for intimacy or sexual fulfillment
vase	the womb 
park	your struggles with your career, relationship, or other problem
promotion	an increase in your level of self confidence
tingling	your arm or leg losing blood flow
angel	goodness, purity, protection, comfort and consolation
pocket	your hidden talents and undeveloped abilities
pain	you are being too hard on yourself, especially if a situation was out of your control
gummy_worm	an unappealing situation or person is being presented in a more palatable way
christening	a renewal and fresh beginning
wax	there is too much activity going on in your life
zip_code	your identity and your sense of being grounded
salt	protection or luck
father	you need to proceed with caution in conducting some business matter
bulletproof_vest	you are a overprotecting yourself from emotional hurt
critic	you are being overly judgmental of others or of some situation
soil	growth and fertility
brandy	your preoccupation with material gains and money
surgery	the opening of the Self and/or the need for emotional healing
arena	you need to be in an environment where you can freely express yourself
fireball	some self-destructive force
nothingness	there is something missing or lacking in your life
cupcake	you are treating yourself to a little sweet reward
weather_vane	unpredictability and versatility
pantomime	your voice is not being heard
cockerel	male aggression and masculinity
coriander	immortality
twisty_tie	you need to put closure on a relationship or situation
birdseed	you are nourishing your higher, spiritual qualities
mascara	your reputation is being called into question by rumors
tumbleweed	your feelings of loneliness and emptiness
scroll	your hidden knowledge or ultimate potential
burrito	your efficiency 
obituary	the end to your old attitudes and outdated beliefs
toy	you are trying to make the best out of a negative situation
brush	your desire to "brush" away problems or something in your life that needs to be cleaned up
victorian	you are feeling sexually repressed
barricade	an obstacle to your emotional growth
nebula	an outburst of creative energy and possibilities
darkness	failure in some work that you are attempting
nugget	a small piece of valuable information that you had overlooked or did not know about
false_tooth	you are not being completely honest in some waking matter
eye	an emotional or intimate connection with that person
bead	you have laid the groundwork for your success
ninja	a someone in your life whose intentions are unclear
slaughterhouse	you may need to compromise an aspect of yourself in order to move ahead
telephone_pole	some spiritual communication
step	your efforts in achieving your goals, ambitions and material gains
thread	your life path and destiny
razor	you are ruthless and "cutthroat
plunger	you need to force yourself to confront certain emotions
king_kong	an imposing obstacle which is blocking your progress
tar	your dependency on something or someone
muzzle	you need to show better restraint in holding back your anger
varnishing	you are trying to cover up some imperfection or mistake
car_show	you are drawn to a flashy lifestyle which may not necessarily be who you really are
leprechaun	the mischievous aspect of your personality
faithless	your fears of being abandoned
smuggling	you are trying to claim what you feel is rightfully yours
padlock	you are debating on whether to be more open about your feelings or keep them to yourself
well	there is an emotional void in your life
tunnel	hope
mad_dog	you are being verbally attacked by those you thought were your friends
documentary	you need to appreciate the life you have and realize the impact you have on others
station	a transitional period in your life
wine	you are celebrating too song
legislature	you will experience many difficulties in moving ahead
dunce	you are not thinking through your actions clearly
orgy	repressed desires of your own sexuality and passion
sweet	indulgence, sensuality, and forbidden pleasure
lamp	you are shutting out those who are trying to help you
den	work, industry, and efficiency
packing	chaos in your life
piston	your drive, determination and ambition
tarantula	your dark and sinister side
cauliflower	spiritual nourishment, purity and perfection
thermometer	your emotions
tiki	spirituality and vitality
patricide	you are rejecting authority and rules
intoxicated	you are losing control of some situation
ranch	you need to take stock of your life and ascertain you hope what to achieve and gain
banjo	togetherness
mosaic	the various aspects and components that make up life as a whole
cop	you feel sexually or emotionally restrained because of guilt
retreat	spiritual renewal and healing
jupiter	creativity, energy, success, optimism, generosity, pleasure and extravagance
rattlesnake	the passage of time
rhubarb	you are freeing yourself out of an unwanted situation or relationship
coloring_book	childhood
backdoor	you need to search a little harder to find an answer to your problem
trampoline	the ups and downs of life
serial_killer	your compulsions and habits are working against you
quaker	you are seeking some solace
equator	the search for Self
clogged	you need to remove some obstacle or blockage that is hindering your progress
pillow	comfort
tallow	love and wealth will quickly vanish if you are not cautious and continue to carry on your careless way
marsh	you are feeling weary and emotionally drained
advocate	your faithfulness and conviction towards your interest and your loyalty to your friends
granite	your toughness and rigidity
godfather	you are an authority figure
sparrow	inner dignity
kingfisher	calmness and dignity
feet	your foundation, stability and sense of understanding
picture	your memory of the depicted event, incident, or people, is fading
cut	your desires 
pear	new opportunities
handcuff	you are being overly possessive
prosthesis	you are exploring a new perspective in life
vandalism	your passive aggressive tendencies
amish	you need to concentrate on the more important things and basic necessities in life
rainbow	you need to see things in a more positive light
flashmob	your need to belong
prune	an emotional or creative blockage
name	the way you feel about that person
whisky	your alertness, carefulness and protective nature
slow_motion	you are feeling powerless, anxious or frustrated
fly_trap	minor embarrassments
fishhooks	an idea or concept that you need to grasp
hour	a passage of time
fly_paper	you are involved in a slightly sticky situation
abdomen	issues you have with trust and feelings of vulnerability
